id;dep_lat_deg;dep_lat_min;dep_lat_sec;dep_lat_direction;dep_lng_deg;dep_lng_min;dep_lng_sec;dep_lng_direction;dep_lat_displayed_value;dep_lng_displayed_value;dep_lat_decimal;dep_lng_decimal;arr_lat_deg;arr_lat_min;arr_lat_sec;arr_lat_direction;arr_lng_deg;arr_lng_min;arr_lng_sec;arr_lng_direction;arr_lat_displayed_value;arr_lng_displayed_value;arr_lat_decimal;arr_lng_decimal;distance_in_meters;distance_in_meters_disp_val;dep_link;arr_link
1;4;55;77247;NORTH;67;18;44747;EAST;Computer Wooden;Soft Consultant;83329;31958;9;49;41729;SOUTH;37;38;90020;EAST;ubiquitous;Front-line infomediaries channels;76185;50532;91935;revolutionary Accounts Money;invoice Soft;Sleek orange
2;43;37;81236;SOUTH;152;18;93876;WEST;coherent;Cotton Executive specifically;67662;63398;30;11;43430;NORTH;117;34;241;EAST;Island Intranet;Barbuda Lead;68050;99476;62956;Fork Soft Dollar;action-items New web;District Executive
3;32;19;21389;NORTH;9;30;4370;EAST;Borders optical Developer;Tennessee Island;38913;39131;35;58;93394;SOUTH;130;3;8522;WEST;Interactions hour Lari;Books;83747;21897;69151;online Chair Auto;Avon whiteboard mobile;haptic Tugrik
4;7;59;67909;NORTH;138;25;10155;EAST;payment purple;Industrial;75494;43496;47;16;3063;NORTH;115;49;27656;WEST;backing Missouri alarm;Ergonomic Forward alliance;6756;29505;46162;Avon;Rustic Product;Rupee
5;74;38;3369;SOUTH;173;52;23932;EAST;PNG;Toys;65467;54042;69;3;99168;SOUTH;31;58;47960;WEST;back;Kuwait Common Advanced;75450;75311;25834;Ameliorated;local Associate deposit;indigo deliver Handcrafted
6;33;10;5901;NORTH;84;53;76996;EAST;multi-byte;Interface hack hierarchy;5822;12275;21;35;85817;NORTH;174;35;73707;EAST;Granite Tala;cross-media cyan;70949;64232;44903;parallelism Ergonomic New;Bacon;olive Tools
7;45;21;30289;NORTH;81;43;8183;EAST;wireless Granite transmit;SMTP Lek;35256;61346;51;17;89934;NORTH;35;39;48065;WEST;PCI;override Tools;73585;44761;267;Kazakhstan Road;Producer Papua Paradigm;Buckinghamshire incubate
8;50;18;15996;NORTH;3;35;3081;WEST;back Industrial methodical;overriding New Handmade;30287;33913;63;51;66123;SOUTH;150;39;69753;WEST;gold;Delaware Credit target;54936;21878;80799;turn-key Customer archive;override;Customer Open-source SSL
9;40;32;53166;NORTH;89;21;65147;EAST;Streamlined;Infrastructure;59284;15735;75;52;87547;SOUTH;50;40;48985;WEST;back-end Mayotte;open-source PCI District;48460;379;7250;Security payment violet;Borders Cape;Ville
10;56;56;5306;SOUTH;39;53;31869;WEST;Progressive functionalities Concrete;interfaces Ville Metal;35105;36958;44;40;26057;NORTH;158;33;29517;WEST;azure;Market Account SAS;71540;11201;63147;Frozen;Soft evolve Chicken;magnetic alarm
