id;jhi_order;dep_lat_deg;dep_lat_min;dep_lat_sec;dep_lat_direction;dep_lng_deg;dep_lng_min;dep_lng_sec;dep_lng_direction;dep_lat_displayed_value;dep_lng_displayed_value;dep_lat_decimal;dep_lng_decimal;arr_lat_deg;arr_lat_min;arr_lat_sec;arr_lat_direction;arr_lng_deg;arr_lng_min;arr_lng_sec;arr_lng_direction;arr_lat_displayed_value;arr_lng_displayed_value;arr_lat_decimal;arr_lng_decimal;check_point_distance;check_line_point_distance;time_window
1;20733;7;21;41501;SOUTH;180;30;32489;EAST;Valley;York Ball;4542;10913;75;35;21853;NORTH;147;24;53340;EAST;HDD;Unbranded;83073;98017;FIVEKM;FIFTEENKM;EIGHTH
2;10766;81;42;93461;SOUTH;90;46;36563;EAST;Bacon Virtual;Steel relationships;67347;46559;10;23;32150;NORTH;38;5;7505;EAST;directional;Director input Jewelery;26997;98502;FIFTYKM;FIFTYKM;EIGHTH
3;58349;60;16;83125;NORTH;119;25;93843;EAST;Sports virtual;Mexico Mouse indigo;67559;88570;80;43;85273;SOUTH;117;48;27815;EAST;Massachusetts brand mesh;1080p payment Response;33498;74491;ONEKM;TWENTYFIVEKM;SEVENH
4;78730;72;33;78037;NORTH;125;56;78038;WEST;Refined;Benin Regional;55804;41802;39;19;86516;NORTH;56;28;55985;WEST;copying;Berkshire Officer salmon;73692;63887;TWENTYFIVEKM;TWENTYFIVEKM;THREEH
5;99449;19;19;22711;NORTH;66;15;33843;EAST;Factors synthesizing Automotive;payment Money Account;7280;20034;47;41;9875;NORTH;126;48;63316;EAST;Bahrain;array withdrawal;75910;37171;THIRTYKM;THIRTYKM;THREEH
6;41109;24;2;19733;NORTH;4;4;67130;WEST;capacitor granular;Fish invoice;65804;24393;75;50;37930;SOUTH;165;52;31463;EAST;Card;Bike access THX;19172;18618;TWENTYFIVEKM;FIVEKM;FOURH
7;28026;4;14;93544;SOUTH;85;58;1630;WEST;application Courts plug-and-play;Cross-platform bypass firmware;51560;97472;19;23;44476;NORTH;114;35;5582;EAST;Steel;Steel Bedfordshire;27048;28960;ONEKM;TWENTYFIVEKM;FIVEH
8;37079;33;26;81624;SOUTH;66;14;46696;EAST;bleeding-edge workforce connect;Territory Grocery;87339;18130;14;40;13085;SOUTH;179;41;59115;WEST;matrix;Games France Cambridgeshire;96193;69245;TWENTYKM;THIRTYKM;EIGHTH
9;18615;78;24;46477;NORTH;109;42;93017;WEST;Japan salmon;Infrastructure Beauty Skyway;87837;85998;79;57;5347;NORTH;54;58;11316;EAST;Checking wireless disintermediate;leading-edge architect Savings;36165;3847;FIFTEENKM;FIFTEENKM;THREEH
10;49403;22;57;54004;SOUTH;2;51;98800;WEST;embrace Steel;Ohio Shoes;26231;41720;56;48;6276;NORTH;161;14;31439;WEST;Steel;Administrator infrastructures;67463;52169;FIFTEENKM;TENKM;FOURH
