id;midnight;one;two;three;four;five;six;seven;eight;nine;ten;eleven;twelve;thirteen;fourteen;fifteen;sixteen;seventeen;eighteen;nineteen;twenty;twenty_one;twenty_two;twenty_three
1;true;false;true;true;false;true;false;true;false;true;false;true;false;false;false;false;false;true;true;true;false;true;true;true
2;false;false;true;false;true;false;true;false;false;false;false;true;true;true;true;true;true;false;true;true;true;true;false;false
3;true;false;true;true;true;true;false;false;true;false;true;true;false;false;true;true;true;false;false;false;false;false;false;false
4;true;false;true;false;true;false;true;true;true;true;false;true;false;true;true;false;false;true;false;false;false;false;false;false
5;true;true;false;true;true;false;false;true;false;true;true;true;false;true;true;false;true;true;false;true;false;false;false;false
6;true;true;false;false;true;true;false;false;false;false;false;false;false;true;false;false;false;true;false;false;false;false;true;false
7;true;true;false;true;true;true;false;true;true;false;true;false;true;false;true;true;true;true;false;true;true;false;true;false
8;false;false;false;true;false;false;true;false;false;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true
9;false;true;false;false;false;true;true;false;false;true;true;true;false;true;false;true;true;true;true;true;true;false;true;false
10;false;true;true;true;false;true;true;true;true;true;true;true;true;false;true;true;false;true;false;false;false;false;true;false
