id;release_date_time;arrival_date_time;distance_km;distance_m;velocity;velocity_disp_val
1;2022-07-05T01:34:58;2022-07-05T08:56:22;29875;14305;89967;purple Wisconsin vertical
2;2022-07-05T14:37:45;2022-07-05T02:10:24;10613;5849;16502;Paradigm
3;2022-07-05T04:03:31;2022-07-04T23:28:23;112;94297;56093;background
4;2022-07-04T22:39:19;2022-07-05T14:22:34;25993;60145;99401;innovative
5;2022-07-05T02:59:45;2022-07-04T22:28:24;15517;50961;51567;Regional parsing
6;2022-07-04T20:22:35;2022-07-05T06:30:26;77461;69198;14303;lime Swaziland Cambodia
7;2022-07-04T17:29:24;2022-07-05T00:06:00;27009;17272;43724;Dam virtual artificial
8;2022-07-05T07:35:25;2022-07-05T10:57:01;79150;23034;4243;structure
9;2022-07-05T03:22:52;2022-07-05T05:43:08;34113;28921;12373;COM
10;2022-07-05T02:09:30;2022-07-05T06:48:35;79523;533;99708;California
