id;initiated;release_date_time;checkpoints_distance;alerts
1;2022-07-04T22:17:42;2022-07-05T14:04:57;41929;Gibraltar Plastic invoice
2;2022-07-05T07:32:39;2022-07-05T05:43:07;9685;bluetooth SQL
3;2022-07-05T09:49:41;2022-07-05T12:57:20;70501;incubate help-desk
4;2022-07-05T00:22:55;2022-07-05T12:41:09;86316;line
5;2022-07-05T14:17:08;2022-07-04T23:19:35;36992;approach Regional
6;2022-07-05T16:54:29;2022-07-05T14:22:07;94946;Engineer Central
7;2022-07-04T19:45:04;2022-07-04T19:15:06;57574;Orchestrator lavender silver
8;2022-07-04T23:49:12;2022-07-05T08:34:54;99796;North Triple-buffered
9;2022-07-05T00:29:45;2022-07-05T02:43:04;46904;Global deliverables Pizza
10;2022-07-05T12:33:31;2022-07-04T21:29:27;85609;New
