id;created;service_name;method;step;discription;log_type
1;2022-07-05T10:39:45;maximized generating Credit;hour;matrix transition firewall;Soft Fantastic leverage;ERROR
2;2022-07-05T06:39:15;override Electronics;Borders Shoes;Borders Usability Steel;HDD;INFO
3;2022-07-04T18:47:53;needs-based Solutions Unbranded;AI Representative;virtual Hat magnetic;Senior Operations Fall;INFO
4;2022-07-05T14:47:43;olive Balanced;Thailand transform Mouse;Indian synthesize;Dram CSS;WARNING
5;2022-07-05T00:31:34;reboot Coordinator;Pound dot-com Colombia;Salad green;impactful Cambridgeshire Flat;WARNING
6;2022-07-04T23:16:50;cross-platform Tasty;port;back Fall Credit;teal Rubber Ringgit;ERROR
7;2022-07-05T04:13:25;Valleys optical;parsing;uniform virtual;empower Steel;WARNING
8;2022-07-05T04:50:47;Pizza Grocery;withdrawal;transmit override Rubber;panel Analyst Squares;INFO
9;2022-07-05T14:55:58;Kentucky Robust ivory;green Account;benchmark human-resource Account;Wooden Pakistan;ERROR
10;2022-07-05T05:07:04;payment Human Fish;conglomeration;capacity Intelligent;Cotton deposit Center;ERROR
